id,rank,position,age,games,minutes played,true shooting percentage,block percentage
Devin Harris,197,PG,34,71,1340,0.563,0.8
Gary Harris,198,SG,23,67,2304,0.597,0.5
Joe Harris,199,SG,26,78,1975,0.634,0.8
Tobias Harris,200,PF,25,80,2668,0.565,1.1
Aaron Harrison,201,SG,23,9,233,0.392,0.8
Andrew Harrison,202,PG,23,56,1326,0.534,1.8
Shaquille Harrison,203,PG,24,23,384,0.54,1.5
Josh Hart,204,SG,22,63,1461,0.596,0.9
Udonis Haslem,205,C,37,14,72,0.252,2.4
Nigel Hayes,206,SF,23,9,122,0.39299999999999996,2.3
Gordon Hayward,207,SF,27,1,5,0.5,0.0
Reggie Hearn,208,SG,26,3,7,0.75,0.0
Myke Henry,209,SF,25,20,378,0.47200000000000003,1.5
John Henson,210,C,27,76,1970,0.5820000000000001,4.7
Juan Hernangomez,211,PF,22,25,277,0.511,0.9
Willy Hernangomez,212,C,23,48,495,0.604,2.7
Mario Hezonja,213,SF,22,75,1657,0.544,1.5
Isaiah Hicks,214,PF,23,18,240,0.501,1.4
Buddy Hield,215,SG,24,80,2024,0.557,1.0
Nene Hilario,216,C,35,52,758,0.594,1.6
George Hill,217,PG,31,67,1812,0.58,1.3
Solomon Hill,218,SF,26,12,187,0.332,0.4
Darrun Hilliard,219,SG,24,14,95,0.36200000000000004,0.0
Jrue Holiday,220,SG,27,81,2927,0.57,1.7
Justin Holiday,221,SG,28,72,2265,0.513,1.2
John Holland,222,SF,29,24,174,0.41700000000000004,1.0
Rondae Hollis-Jefferson,223,SF,23,68,1920,0.5479999999999999,1.9
Richaun Holmes,224,C,24,48,746,0.585,3.2
Rodney Hood,225,SG,25,60,1616,0.546,0.6
Scotty Hopson,226,SG,28,1,8,0.266,0.0
Al Horford,227,C,31,72,2277,0.575,2.9
Danuel House,228,SG,24,23,403,0.5329999999999999,1.2
Dwight Howard,229,C,32,81,2463,0.5770000000000001,4.4
Josh Huestis,230,PF,26,69,982,0.41700000000000004,4.0
R.J. Hunter,231,SG,24,5,45,0.455,0.0
Vince Hunter,232,PF,23,4,7,0.6,13.4
Serge Ibaka,233,PF,28,76,2093,0.574,3.8
Andre Iguodala,234,SF,34,64,1622,0.536,1.9
Ersan Ilyasova,235,PF,30,69,1729,0.5579999999999999,1.3
Joe Ingles,236,SF,30,82,2578,0.623,0.7
Andre Ingram,237,SG,32,2,64,0.655,3.8
Brandon Ingram,238,SF,20,59,1975,0.536,1.8
Kyrie Irving,239,PG,25,60,1931,0.61,0.7
Jonathan Isaac,240,PF,20,27,536,0.465,4.5
Wesley Iwundu,241,SF,23,62,1020,0.48,0.9
Jarrett Jack,242,PG,34,62,1548,0.489,0.2
Aaron Jackson,243,PG,31,1,35,0.405,0.0
Demetrius Jackson,244,PG,23,15,80,0.424,1.1
Josh Jackson,245,SF,20,77,1959,0.48,1.4
Justin Jackson,246,SF,22,68,1506,0.521,0.8
Reggie Jackson,247,PG,27,45,1201,0.516,0.3
LeBron James,248,PF,33,82,3026,0.621,2.0
Mike James,249,PG,27,36,687,0.469,0.8
Al Jefferson,250,C,33,36,484,0.563,4.2
Richard Jefferson,251,SF,37,20,163,0.499,0.5
Brandon Jennings,252,PG,28,14,205,0.478,1.7
Jonas Jerebko,253,PF,30,74,1134,0.586,0.9
Amir Johnson,254,C,30,74,1171,0.575,3.1
Brice Johnson,255,PF,23,18,98,0.486,5.5
Dakari Johnson,256,C,22,31,161,0.575,4.5
James Johnson,257,PF,30,73,1943,0.575,2.2
Joe Johnson,258,SF,36,55,1205,0.49,0.5
Omari Johnson,259,PF,28,4,75,0.524,0.0
Stanley Johnson,260,SF,21,69,1894,0.48,0.7
Tyler Johnson,261,PG,25,72,2052,0.5489999999999999,1.4
Wesley Johnson,262,SF,30,74,1486,0.512,3.5
Nikola Jokic,263,C,22,75,2443,0.603,2.1
Damian Jones,264,C,22,15,89,0.517,2.7
Derrick Jones,265,SF,20,20,245,0.48,4.4
Jalen Jones,266,SF,24,16,181,0.485,0.5
Tyus Jones,267,PG,21,82,1467,0.5720000000000001,0.4
DeAndre Jordan,268,C,29,77,2424,0.648,2.4
Cory Joseph,269,PG,26,82,2210,0.503,0.7
Frank Kaminsky,270,PF,24,79,1835,0.545,0.9
Enes Kanter,271,C,25,71,1830,0.63,1.7
Luke Kennard,272,SG,21,73,1463,0.56,0.8
Michael Kidd-Gilchrist,273,SF,24,74,1850,0.536,1.4
Sean Kilpatrick,274,SG,28,52,640,0.507,0.7
Maxi Kleber,275,PF,26,72,1206,0.5760000000000001,3.5
Furkan Korkmaz,276,SG,20,14,80,0.386,1.0
Luke Kornet,277,PF,22,20,326,0.516,4.2
Kyle Korver,278,SG,36,73,1574,0.652,1.5
Kosta Koufos,279,C,28,71,1391,0.5660000000000001,2.2
Kyle Kuzma,280,PF,22,77,2401,0.5489999999999999,1.1
Mindaugas Kuzminskas,281,SF,28,1,2,0.0,0.0
Skal Labissiere,282,PF,21,60,1240,0.513,3.7
Jeremy Lamb,283,SG,25,80,1967,0.5589999999999999,1.4
Shane Larkin,284,PG,25,54,775,0.491,0.3
Joffrey Lauvergne,285,C,26,55,534,0.536,0.5
Zach LaVine,286,SG,22,24,656,0.499,0.5
Jake Layman,287,SF,23,35,160,0.35200000000000004,2.0
T.J. Leaf,288,PF,20,53,459,0.545,0.8
Courtney Lee,289,SG,32,76,2310,0.564,0.6
Damion Lee,290,SG,25,15,404,0.489,0.2
Walt Lemon Jr.,291,PG,25,5,35,0.491,2.3
Alex Len,292,C,24,69,1395,0.612,3.5
Kawhi Leonard,293,SF,26,9,210,0.5720000000000001,3.6
Meyers Leonard,294,C,25,33,254,0.6759999999999999,0.0
Jon Leuer,295,PF,28,8,136,0.505,2.0
Caris LeVert,296,SF,23,71,1864,0.525,0.9
DeAndre Liggins,297,SG,29,58,724,0.467,1.6
Damian Lillard,298,PG,27,73,2670,0.594,0.8
Jeremy Lin,299,PG,29,1,25,0.597,0.0
Shaun Livingston,300,PG,32,71,1129,0.5329999999999999,1.5
Kevon Looney,301,C,21,66,910,0.588,4.9
Brook Lopez,302,C,29,74,1735,0.557,4.6
Robin Lopez,303,C,29,64,1690,0.552,2.8
Kevin Love,304,C,29,59,1651,0.614,1.2
Kyle Lowry,305,PG,31,78,2510,0.598,0.6
Timothe Luwawu-Cabarrot,306,SF,22,52,807,0.511,0.5
Tyler Lydon,307,PF,21,1,2,,0.0
Trey Lyles,308,PF,22,73,1391,0.591,2.0
Shelvin Mack,309,PG,27,69,1365,0.518,0.5
Josh Magette,310,PG,28,18,216,0.46399999999999997,0.4
Ian Mahinmi,311,C,31,77,1145,0.601,3.2
Thon Maker,312,C,20,74,1238,0.499,3.7
Boban Marjanovic,313,C,29,39,337,0.616,2.8
Lauri Markkanen,314,PF,20,68,2020,0.552,1.8
Jarell Martin,315,PF,23,73,1661,0.516,2.8
Frank Mason,316,PG,23,52,984,0.48,1.0
Mangok Mathiang,317,C,25,4,20,0.5379999999999999,0.0
Wesley Matthews,318,SF,31,63,2131,0.541,0.7
Luc Mbah a Moute,319,PF,31,61,1564,0.595,1.4
James Michael McAdoo,320,PF,25,3,18,0.508,4.6
Patrick McCaw,321,SG,22,57,961,0.47700000000000004,0.8
CJ McCollum,322,SG,26,81,2923,0.536,1.0
T.J. McConnell,323,PG,25,76,1706,0.545,0.6
Erik McCree,324,SF,24,4,8,0.0,0.0
Chris McCullough,325,PF,22,19,90,0.478,4.9
Doug McDermott,326,SF,26,81,1768,0.579,0.8
JaVale McGee,327,C,30,65,615,0.6409999999999999,7.3
Rodney McGruder,328,SG,26,18,299,0.595,0.9
Trey McKinney-Jones,329,SG,27,1,1,,0.0
Alfonzo McKinnie,330,SF,25,14,53,0.643,1.5
Ben McLemore,331,SG,24,56,1091,0.526,1.3
Josh McRoberts,332,PF,30,2,6,0.0,0.0
Jodie Meeks,333,SG,30,77,1119,0.5479999999999999,0.3
Salah Mejri,334,C,31,61,729,0.644,8.2
Jordan Mickey,335,PF,23,23,284,0.515,3.0
Khris Middleton,336,SF,26,82,2982,0.5770000000000001,0.6
C.J. Miles,337,SF,30,70,1337,0.545,1.3
Darius Miller,338,SF,27,82,1944,0.617,0.7
Malcolm Miller,339,SF,24,15,126,0.638,1.3
Patty Mills,340,PG,29,82,2107,0.5579999999999999,0.4
Paul Millsap,341,PF,32,38,1143,0.5489999999999999,3.2
Nikola Mirotic,342,PF,26,55,1494,0.5770000000000001,2.2
Donovan Mitchell,343,SG,21,79,2638,0.541,0.9
Naz Mitrou-Long,344,SG,24,1,1,1.5,0.0
Malik Monk,345,SG,19,63,854,0.47700000000000004,0.9
Greg Monroe,346,C,27,51,1040,0.598,1.8
Luis Montero,347,SG,24,2,8,0.0,0.0
Ben Moore,348,PF,22,2,9,,0.0
E'Twaun Moore,349,SG,28,82,2586,0.593,0.4
Eric Moreland,350,PF,26,67,805,0.531,5.6
Jaylen Morris,351,SG,22,6,98,0.43799999999999994,0.9
Marcus Morris,352,PF,28,54,1447,0.541,0.7
Markieff Morris,353,PF,28,73,1968,0.5660000000000001,1.7
Monte Morris,354,PG,22,3,25,0.727,0.0
Johnathan Motley,355,PF,22,11,176,0.55,1.0
Timofey Mozgov,356,C,31,31,359,0.617,2.7
Emmanuel Mudiay,357,PG,21,64,1245,0.474,0.8
Shabazz Muhammad,358,SF-SG,25,43,418,0.51,0.6
Xavier Munford,359,SG,25,6,21,0.218,0.0
Dejounte Murray,360,PG,21,81,1743,0.485,1.5
Jamal Murray,361,PG,20,81,2565,0.5760000000000001,0.9
Mike Muscala,362,C,26,53,1060,0.597,2.2
Abdel Nader,363,SF,24,48,522,0.439,1.6
Larry Nance,364,C,25,66,1421,0.605,2.2
Shabazz Napier,365,PG,26,74,1535,0.544,0.7
Jameer Nelson,366,PG,35,50,1013,0.489,0.3
Raul Neto,367,PG,25,41,498,0.55,0.7
Georges Niang,368,PF,24,9,32,0.379,0.0
Joakim Noah,369,C,32,7,40,0.51,4.3
Nerlens Noel,370,C,23,30,472,0.5579999999999999,4.1
Lucas Nogueira,371,C,25,49,418,0.6609999999999999,8.2
Dirk Nowitzki,372,C,39,77,1900,0.575,2.1
Frank Ntilikina,373,PG,19,78,1706,0.43700000000000006,0.9
Jusuf Nurkic,374,C,23,79,2088,0.528,4.3
David Nwaba,375,SG,25,70,1646,0.542,1.6
Johnny O'Bryant,376,PF,24,36,379,0.47,1.3
Royce O'Neale,377,SF,24,69,1150,0.54,1.2
Kyle O'Quinn,378,C,27,77,1387,0.625,6.1
Semi Ojeleye,379,PF,23,73,1150,0.473,0.3
Emeka Okafor,380,C,35,26,353,0.545,5.6
Jahlil Okafor,381,C,22,28,353,0.584,3.9
Victor Oladipo,382,SG,25,75,2552,0.5770000000000001,2.0
Kelly Olynyk,383,PF,26,76,1779,0.612,1.7
Chinanu Onuaku,384,C,21,1,22,0.4,0.0
Cedi Osman,385,SF,22,61,672,0.5770000000000001,0.4
Kelly Oubre,386,SF,22,81,2231,0.534,1.4
Zaza Pachulia,387,C,33,69,972,0.612,1.4
Marcus Paige,388,PG,24,5,28,0.40299999999999997,0.0
Georgios Papagiannis,389,C,20,17,122,0.429,4.7
Jabari Parker,390,PF,22,31,743,0.55,1.2
Tony Parker,391,PG,35,55,1071,0.498,0.1
Chandler Parsons,392,SF,29,36,691,0.578,1.5
Patrick Patterson,393,PF,28,82,1270,0.555,1.6
Justin Patton,394,C,20,1,4,0.5,0.0
Brandon Paul,395,SG,26,64,576,0.504,1.0
Chris Paul,396,PG,32,58,1847,0.604,0.6
Adreian Payne,397,PF,26,5,43,0.831,0.0
Cameron Payne,398,PG,23,25,582,0.498,1.4
Elfrid Payton,399,PG,23,63,1808,0.5379999999999999,1.0
Gary Payton,400,PG,25,23,221,0.44299999999999995,1.1
Kendrick Perkins,401,C,33,1,15,0.521,0.0
London Perrantes,402,PG,23,14,66,0.23,1.3
Alec Peters,403,PF,22,20,225,0.523,0.7
Marshall Plumlee,404,C,25,8,52,0.6970000000000001,1.6
Mason Plumlee,405,C,27,74,1439,0.586,4.7
Miles Plumlee,406,C,29,55,918,0.574,2.8
Jakob Poeltl,407,C,22,82,1524,0.662,5.2
Quincy Pondexter,408,SF,29,23,196,0.39799999999999996,0.9
Otto Porter,409,SF,24,77,2432,0.602,1.5
Bobby Portis,410,PF,22,73,1643,0.5479999999999999,1.3
Kristaps Porzingis,411,PF,22,48,1553,0.539,6.4
Dwight Powell,412,C,26,79,1672,0.6559999999999999,1.7
Norman Powell,413,SG,24,70,1062,0.49200000000000005,1.2
